time,AAPL,FB,NFLX,V,XOM
2011-01-05,334.000008,NaN,179.730001,72.089996,74.699997
2011-01-06,333.729988,NaN,177.990002,73.169998,75.180000
2011-01-07,336.120003,NaN,179.300005,72.959999,75.589996
2011-01-10,342.450001,NaN,187.880001,71.809998,75.129997
2011-01-11,341.639996,NaN,186.650000,71.879997,75.690002
2011-01-12,344.420006,NaN,188.899998,72.610001,76.580002
2011-01-13,345.680008,NaN,191.490004,71.139999,76.709999
2011-01-14,348.479992,NaN,191.480003,71.120003,77.839996
2011-01-18,340.650013,NaN,193.680000,71.209999,78.709999
2011-01-19,338.840012,NaN,190.870003,69.120003,78.239998
2011-01-20,332.680004,NaN,185.000002,70.690002,77.750000
2011-01-21,326.720001,NaN,182.090002,70.150002,78.980003
2011-01-24,337.449993,NaN,183.960005,71.790001,78.589996
2011-01-25,341.399990,NaN,186.740002,71.580002,78.680000
2011-01-26,343.850006,NaN,183.029997,71.000000,79.660004
2011-01-27,343.209991,NaN,210.870007,70.599998,79.879997
2011-01-28,336.100002,NaN,217.979996,69.459999,78.989998
2011-01-31,339.319996,NaN,214.080000,69.849998,80.680000
2011-02-01,345.030006,NaN,212.900000,70.699997,83.910004
2011-02-02,344.320004,NaN,211.260002,72.089996,83.410004
2011-02-03,343.440010,NaN,211.489994,71.629997,83.440002
2011-02-04,346.500000,NaN,220.070004,72.900002,83.279999
2011-02-07,351.879990,NaN,218.019997,73.930000,83.930000
2011-02-08,355.200012,NaN,217.630001,74.570000,82.980003
2011-02-09,358.160000,NaN,222.290001,73.279999,82.550003
2011-02-10,354.539997,NaN,223.199995,74.739998,83.199997
2011-02-11,356.850010,NaN,231.069988,74.930000,82.820000
2011-02-14,359.179996,NaN,247.549992,75.739998,84.910004
2011-02-15,359.900013,NaN,240.789997,75.610001,82.970001
2011-02-16,363.129993,NaN,237.719994,75.959999,83.690002
2011-02-17,358.300003,NaN,235.630013,76.139999,83.879997
2011-02-18,350.560013,NaN,235.510010,75.830002,84.500000
2011-02-22,338.609993,NaN,221.599998,73.739998,85.440002
2011-02-23,342.619991,NaN,211.200001,72.879997,87.070000
2011-02-24,342.879997,NaN,215.179998,73.910004,85.970001
2011-02-25,348.160011,NaN,212.440002,74.680000,85.339996
2011-02-28,353.210007,NaN,206.670004,73.050003,85.529999
2011-03-01,349.309998,NaN,204.629997,72.699997,84.800003
2011-03-02,352.119995,NaN,204.230001,73.970001,85.080002
2011-03-03,359.560005,NaN,203.369995,75.830002,85.820000
2011-03-04,359.999989,NaN,210.720003,74.690002,85.080002
2011-03-07,355.359989,NaN,207.399994,74.150002,84.720001
2011-03-08,355.759998,NaN,195.450001,74.169998,84.599998
2011-03-09,352.469990,NaN,192.989998,73.709999,84.379997
2011-03-10,346.669991,NaN,200.019999,71.400002,81.379997
2011-03-11,351.990005,NaN,204.539995,72.510002,82.120003
